Data_1 17.75807 0.3870566 0.40372953 49.201344 26.742905 12.137974
Data_2 3.82416 0.39885145 0.40074292 23.081392 18.346548 7.9842687
Data_3 3.857881 0.3978115 0.40095052 23.195929 18.205032 7.9356136
Data_4 17.86031 0.38713798 0.40367517 49.326237 26.829601 12.161053


Data_5 9.761117 0.44025698 0.4549427 37.410236 22.694618 29.395002
Data_6 13.189094 0.47705868 0.44614825 43.046787 34.547657 38.91307
Data_7 9.043008 0.50463516 0.40453553 36.06697 43.899475 29.175854
Data_8 5.5499415 0.49191502 0.37272882 28.24737 41.630806 15.842867
Data_9 5.678111 0.36421052 0.459946 28.585396 5.291745 14.910788
Data_10 5.92256 0.3100177 0.39624372 29.216246 4.565626 -0.39782524
Data_11 4.734171 0.31396598 0.31349415 25.963589 20.116896 -12.756931
Data_12 5.9615135 0.39657634 0.33126444 29.315159 35.025833 -3.1364858


Data_13 14.120021 0.38410196 0.40452838 44.404564 23.860723 10.988402


Data_14 6.1131167 0.47240207 0.49535966 29.696072 18.36337 42.71325
Data_15 9.490692 0.51456434 0.46728227 36.91238 33.50933 55.776855
Data_16 5.3987203 0.57537293 0.4066777 27.841787 46.648308 42.92005
Data_17 1.9454705 0.6345612 0.32876486 15.198441 51.48527 21.57475
Data_18 2.0016377 0.26196685 0.6182336 15.495838 -22.506222 18.44286
Data_19 2.2262425 0.17270799 0.3878745 16.632385 -21.36349 -8.874184
Data_20 0.9905603 0.17433111 0.17224993 8.912557 12.361415 -31.442627
Data_21 2.2409077 0.39607686 0.25914356 16.703884 39.380775 -12.487054


Data_22 0.3144456 0.40467057 0.35939607 2.8403628 6.6438837 0.49371123


Data_23 6.1312776 0.40487468 0.39979428 29.74128 22.74172 9.882206
Data_24 6.223879 0.4038872 0.4009875 29.970407 22.456572 10.02487
Data_25 6.467361 0.4073262 0.40205345 30.56222 23.179874 10.759354
Data_26 6.4391756 0.4079435 0.40326077 30.494482 23.03557 11.035025
Data_27 7.7797003 0.4035507 0.40132633 33.51981 24.057552 10.82018
Data_28 8.013328 0.4033848 0.40149584 34.010628 24.229378 10.938496
