Data_1 0.004921614 0.016856136 0.038883258 0.05813907 0.07248509 0.10797139 0.12885381 0.11903877 0.1252281 0.1340072 0.1561634 0.17750381 0.17422321 0.168839 0.17246199 0.19995643 0.304908 0.32449862 0.2502593 0.23615572 0.2582749 0.26685786 0.26281014 0.318929 0.28063887 0.22168566 0.18968539 0.17447785 0.16131721 0.14892185 0.12897529 0.113393724 0.099067785 0.09264368 0.06868288 0.052746464
Data_2 5.22619E-4 0.0022848544 0.0045789825 0.006122908 0.009338177 0.03413234 0.044209957 0.024273638 0.020360893 0.017235594 0.02416776 0.03489116 0.02248632 0.00920001 0.0073077176 0.022917056 0.11291331 0.12042833 0.0389939 0.024906905 0.0435495 0.052836377 0.051700246 0.114474 0.08545432 0.039384212 0.017006867 0.015041493 0.014101531 0.010428508 0.008849616 0.008943775 0.0121890865 0.020719867 0.006975964 0.0068326145
Data_3 -7.464257E-4 0.0022417656 0.0055029825 0.006095631 0.009739048 0.034875482 0.045019694 0.025458148 0.019543767 0.01663291 0.02510514 0.03516667 0.02175108 0.009173153 0.0075438246 0.023620818 0.11435458 0.122642234 0.039265085 0.02439907 0.04489739 0.051957913 0.051918183 0.11482077 0.08506193 0.038717456 0.019436568 0.014493258 0.012668299 0.012171075 0.011976509 0.011342506 0.011306948 0.018649546 0.011464348 0.004249868
Data_4 0.0066015082 0.018127637 0.03968288 0.058696594 0.07326137 0.10882774 0.12970872 0.119774066 0.12558879 0.13457163 0.15606913 0.1792523 0.17604983 0.17019676 0.17492545 0.20125361 0.30568048 0.3255365 0.25160033 0.23754884 0.26006937 0.26743653 0.26391336 0.3196714 0.28234205 0.22651763 0.19364224 0.17567028 0.16155091 0.1503705 0.12940273 0.114781514 0.098860465 0.09409376 0.07131782 0.06371823
Data_5 0.0023110653 0.0026409088 0.0059642405 0.007525393 0.010829229 0.034817062 0.045605626 0.025171254 0.019730601 0.0201763 0.03149815 0.051799867 0.05182433 0.054413147 0.06609259 0.09480572 0.19563608 0.21278954 0.13712382 0.12614965 0.14895453 0.1559187 0.14870068 0.20727706 0.17418018 0.122394845 0.09977687 0.08904601 0.079787225 0.07215057 0.06610862 0.066517636 0.06744118 0.07235721 0.052894283 0.052326936
Data_6 6.2767393E-4 0.0025676824 0.0053655687 0.007408862 0.011076966 0.03631881 0.047256146 0.026107477 0.021442793 0.021893382 0.032352887 0.04730582 0.039635636 0.033805944 0.04355784 0.08264481 0.21384202 0.26503712 0.21182406 0.20713392 0.23280735 0.24213138 0.24023342 0.29605338 0.26001722 0.20474371 0.17140429 0.15628317 0.14666444 0.13597193 0.11712043 0.1043524 0.09523817 0.09053274 0.06575779 0.05753887
Data_7 0.0021009764 0.0028729409 0.0061533065 0.007492008 0.010740367 0.035413414 0.046166852 0.02588582 0.02038065 0.019460581 0.02590364 0.0366924 0.022795865 0.010897753 0.010585827 0.0307604 0.13334486 0.16370563 0.10388065 0.110944085 0.15916328 0.19044022 0.2074116 0.2787903 0.24794032 0.19306646 0.16754682 0.15331174 0.14119174 0.1294513 0.113353156 0.09969904 0.08819201 0.08725675 0.06520012 0.0559454
Data_8 -4.4030973E-4 0.0028659245 0.005974544 0.007335878 0.010533466 0.036256887 0.04563112 0.024944915 0.020536223 0.019418767 0.027007863 0.036850795 0.023633584 0.011275658 0.008510277 0.024611387 0.114352256 0.122975826 0.04170138 0.028366676 0.05389928 0.074219495 0.1008554 0.20388001 0.21222998 0.17812759 0.15240966 0.14366868 0.13564606 0.12704945 0.110843696 0.101642154 0.09239615 0.08463881 0.062476426 0.05618212
Data_9 0.0012505888 0.0028244283 0.005869144 0.0076275202 0.010570744 0.034832865 0.045314122 0.025986683 0.019653333 0.018668536 0.029169174 0.045614846 0.04508713 0.04925077 0.061272267 0.083349094 0.16945173 0.16448165 0.06575403 0.035914157 0.049594134 0.05687398 0.05490363 0.118965074 0.08803702 0.04301168 0.020855557 0.017027624 0.01399389 0.0133516 0.013509225 0.013985749 0.012521199 0.021304213 0.01166264 0.012429385
Data_10 0.0026921798 0.004101337 0.008305211 0.013226743 0.019486072 0.048494045 0.06454283 0.0507553 0.05476302 0.06408369 0.08786858 0.113425605 0.106706955 0.092431456 0.08027501 0.08410245 0.15878977 0.14909153 0.052488375 0.029370604 0.045966946 0.055425286 0.053394184 0.11838842 0.08946456 0.043885387 0.018927123 0.016203634 0.013401828 0.013036836 0.010953615 0.014064928 0.012740934 0.022239832 0.008891961 0.008462313
